datetime,C_J,J,Q,shape,scale,ST_max,ST_min,timestep
1990/1/1,0,3,3,1,210,inf,0,0
1990/1/2,0,3,3,1,210,inf,0,1
1990/1/3,0,3,3,1,210,inf,0,1
1990/1/4,0,3,3,1,210,inf,0,1
1990/1/5,0,3,3,1,210,inf,0,1
1990/1/6,0,3,3,1,210,inf,0,1
1990/1/7,0,3,3,1,210,inf,0,1
1990/1/8,0,3,3,1,210,inf,0,1
1990/1/9,0,3,3,1,210,inf,0,1
1990/1/10,100,3,3,1,210,inf,0,1
1990/1/11,0,3,3,1,210,inf,0,1
1990/1/12,0,3,3,1,210,inf,0,1
1990/1/13,0,3,3,1,210,inf,0,1
1990/1/14,0,3,3,1,210,inf,0,1
1990/1/15,0,3,3,1,210,inf,0,1
1990/1/16,0,3,3,1,210,inf,0,1
1990/1/17,0,3,3,1,210,inf,0,1
1990/1/18,0,3,3,1,210,inf,0,1
1990/1/19,0,3,3,1,210,inf,0,1
1990/1/20,0,3,3,1,210,inf,0,1
1990/1/21,0,3,3,1,210,inf,0,1
1990/1/22,0,3,3,1,210,inf,0,1
1990/1/23,0,3,3,1,210,inf,0,1
1990/1/24,0,3,3,1,210,inf,0,1
1990/1/25,0,3,3,1,210,inf,0,1
1990/1/26,0,3,3,1,210,inf,0,1
1990/1/27,0,3,3,1,210,inf,0,1
1990/1/28,0,3,3,1,210,inf,0,1
1990/1/29,0,3,3,1,210,inf,0,1
1990/1/30,0,3,3,1,210,inf,0,1
1990/1/31,0,3,3,1,210,inf,0,1
1990/2/1,0,3,3,1,210,inf,0,1
1990/2/2,0,3,3,1,210,inf,0,1
1990/2/3,0,3,3,1,210,inf,0,1
1990/2/4,0,3,3,1,210,inf,0,1
1990/2/5,0,3,3,1,210,inf,0,1
1990/2/6,0,3,3,1,210,inf,0,1
1990/2/7,0,3,3,1,210,inf,0,1
1990/2/8,0,3,3,1,210,inf,0,1
1990/2/9,0,3,3,1,210,inf,0,1
1990/2/10,0,3,3,1,210,inf,0,1
1990/2/11,0,3,3,1,210,inf,0,1
1990/2/12,0,3,3,1,210,inf,0,1
1990/2/13,0,3,3,1,210,inf,0,1
1990/2/14,0,3,3,1,210,inf,0,1
1990/2/15,0,3,3,1,210,inf,0,1
1990/2/16,0,3,3,1,210,inf,0,1
1990/2/17,0,3,3,1,210,inf,0,1
1990/2/18,0,3,3,1,210,inf,0,1
1990/2/19,0,3,3,1,210,inf,0,1
1990/2/20,0,3,3,1,210,inf,0,1
1990/2/21,0,3,3,1,210,inf,0,1
1990/2/22,0,3,3,1,210,inf,0,1
1990/2/23,0,3,3,1,210,inf,0,1
1990/2/24,0,3,3,1,210,inf,0,1
1990/2/25,0,3,3,1,210,inf,0,1
1990/2/26,0,3,3,1,210,inf,0,1
1990/2/27,0,3,3,1,210,inf,0,1
1990/2/28,0,3,3,1,210,inf,0,1
1990/3/1,0,3,3,1,210,inf,0,1
1990/3/2,0,3,3,1,210,inf,0,1
1990/3/3,0,3,3,1,210,inf,0,1
1990/3/4,0,3,3,1,210,inf,0,1
1990/3/5,0,3,3,1,210,inf,0,1
1990/3/6,0,3,3,1,210,inf,0,1
1990/3/7,0,3,3,1,210,inf,0,1
1990/3/8,0,3,3,1,210,inf,0,1
1990/3/9,0,3,3,1,210,inf,0,1
1990/3/10,0,3,3,1,210,inf,0,1
1990/3/11,0,3,3,1,210,inf,0,1
1990/3/12,0,3,3,1,210,inf,0,1
1990/3/13,0,3,3,1,210,inf,0,1
1990/3/14,0,3,3,1,210,inf,0,1
1990/3/15,0,3,3,1,210,inf,0,1
1990/3/16,0,3,3,1,210,inf,0,1
1990/3/17,0,3,3,1,210,inf,0,1
1990/3/18,0,3,3,1,210,inf,0,1
1990/3/19,0,3,3,1,210,inf,0,1
1990/3/20,0,3,3,1,210,inf,0,1
1990/3/21,0,3,3,1,210,inf,0,1
1990/3/22,0,3,3,1,210,inf,0,1
1990/3/23,0,3,3,1,210,inf,0,1
1990/3/24,0,3,3,1,210,inf,0,1
1990/3/25,0,3,3,1,210,inf,0,1
1990/3/26,0,3,3,1,210,inf,0,1
1990/3/27,0,3,3,1,210,inf,0,1
1990/3/28,0,3,3,1,210,inf,0,1
1990/3/29,0,3,3,1,210,inf,0,1
1990/3/30,0,3,3,1,210,inf,0,1
1990/3/31,0,3,3,1,210,inf,0,1
1990/4/1,0,3,3,1,210,inf,0,1
1990/4/2,0,3,3,1,210,inf,0,1
1990/4/3,0,3,3,1,210,inf,0,1
1990/4/4,0,3,3,1,210,inf,0,1
1990/4/5,0,3,3,1,210,inf,0,1
1990/4/6,0,3,3,1,210,inf,0,1
1990/4/7,0,3,3,1,210,inf,0,1
1990/4/8,0,3,3,1,210,inf,0,1
1990/4/9,0,3,3,1,210,inf,0,1
1990/4/10,0,3,3,1,210,inf,0,1
1990/4/11,0,3,3,1,210,inf,0,1
1990/4/12,0,3,3,1,210,inf,0,1
1990/4/13,0,3,3,1,210,inf,0,1
1990/4/14,0,3,3,1,210,inf,0,1
1990/4/15,0,3,3,1,210,inf,0,1
1990/4/16,0,3,3,1,210,inf,0,1
1990/4/17,0,3,3,1,210,inf,0,1
1990/4/18,0,3,3,1,210,inf,0,1
1990/4/19,0,3,3,1,210,inf,0,1
1990/4/20,0,3,3,1,210,inf,0,1
1990/4/21,0,3,3,1,210,inf,0,1
1990/4/22,0,3,3,1,210,inf,0,1
1990/4/23,0,3,3,1,210,inf,0,1
1990/4/24,0,3,3,1,210,inf,0,1
1990/4/25,0,3,3,1,210,inf,0,1
1990/4/26,0,3,3,1,210,inf,0,1
1990/4/27,0,3,3,1,210,inf,0,1
1990/4/28,0,3,3,1,210,inf,0,1
1990/4/29,0,3,3,1,210,inf,0,1
1990/4/30,0,3,3,1,210,inf,0,1
1990/5/1,0,3,3,1,210,inf,0,1
1990/5/2,0,3,3,1,210,inf,0,1
1990/5/3,0,3,3,1,210,inf,0,1
1990/5/4,0,3,3,1,210,inf,0,1
1990/5/5,0,3,3,1,210,inf,0,1
1990/5/6,0,3,3,1,210,inf,0,1
1990/5/7,0,3,3,1,210,inf,0,1
1990/5/8,0,3,3,1,210,inf,0,1
1990/5/9,0,3,3,1,210,inf,0,1
1990/5/10,0,3,3,1,210,inf,0,1
1990/5/11,0,3,3,1,210,inf,0,1
1990/5/12,0,3,3,1,210,inf,0,1
1990/5/13,0,3,3,1,210,inf,0,1
1990/5/14,0,3,3,1,210,inf,0,1
1990/5/15,0,3,3,1,210,inf,0,1
1990/5/16,0,3,3,1,210,inf,0,1
1990/5/17,0,3,3,1,210,inf,0,1
1990/5/18,0,3,3,1,210,inf,0,1
1990/5/19,0,3,3,1,210,inf,0,1
1990/5/20,0,3,3,1,210,inf,0,1
1990/5/21,0,3,3,1,210,inf,0,1
1990/5/22,0,3,3,1,210,inf,0,1
1990/5/23,0,3,3,1,210,inf,0,1
1990/5/24,0,3,3,1,210,inf,0,1
1990/5/25,0,3,3,1,210,inf,0,1
1990/5/26,0,3,3,1,210,inf,0,1
1990/5/27,0,3,3,1,210,inf,0,1
1990/5/28,0,3,3,1,210,inf,0,1
1990/5/29,0,3,3,1,210,inf,0,1
1990/5/30,0,3,3,1,210,inf,0,1
1990/5/31,0,3,3,1,210,inf,0,1
1990/6/1,0,3,3,1,210,inf,0,1
1990/6/2,0,3,3,1,210,inf,0,1
1990/6/3,0,3,3,1,210,inf,0,1
1990/6/4,0,3,3,1,210,inf,0,1
1990/6/5,0,3,3,1,210,inf,0,1
1990/6/6,0,3,3,1,210,inf,0,1
1990/6/7,0,3,3,1,210,inf,0,1
1990/6/8,0,3,3,1,210,inf,0,1
1990/6/9,0,3,3,1,210,inf,0,1
1990/6/10,0,3,3,1,210,inf,0,1
1990/6/11,0,3,3,1,210,inf,0,1
1990/6/12,0,3,3,1,210,inf,0,1
1990/6/13,0,3,3,1,210,inf,0,1
1990/6/14,0,3,3,1,210,inf,0,1
1990/6/15,0,3,3,1,210,inf,0,1
1990/6/16,0,3,3,1,210,inf,0,1
1990/6/17,0,3,3,1,210,inf,0,1
1990/6/18,0,3,3,1,210,inf,0,1
1990/6/19,0,3,3,1,210,inf,0,1
1990/6/20,0,3,3,1,210,inf,0,1
1990/6/21,0,3,3,1,210,inf,0,1
1990/6/22,0,3,3,1,210,inf,0,1
1990/6/23,0,3,3,1,210,inf,0,1
1990/6/24,0,3,3,1,210,inf,0,1
1990/6/25,0,3,3,1,210,inf,0,1
1990/6/26,0,3,3,1,210,inf,0,1
1990/6/27,0,3,3,1,210,inf,0,1
1990/6/28,0,3,3,1,210,inf,0,1
1990/6/29,0,3,3,1,210,inf,0,1
1990/6/30,0,3,3,1,210,inf,0,1
1990/7/1,0,3,3,1,210,inf,0,1
1990/7/2,0,3,3,1,210,inf,0,1
1990/7/3,0,3,3,1,210,inf,0,1
1990/7/4,0,3,3,1,210,inf,0,1
1990/7/5,0,3,3,1,210,inf,0,1
1990/7/6,0,3,3,1,210,inf,0,1
1990/7/7,0,3,3,1,210,inf,0,1
1990/7/8,0,3,3,1,210,inf,0,1
1990/7/9,0,3,3,1,210,inf,0,1
1990/7/10,0,3,3,1,210,inf,0,1
1990/7/11,0,3,3,1,210,inf,0,1
1990/7/12,0,3,3,1,210,inf,0,1
1990/7/13,0,3,3,1,210,inf,0,1
1990/7/14,0,3,3,1,210,inf,0,1
1990/7/15,0,3,3,1,210,inf,0,1
1990/7/16,0,3,3,1,210,inf,0,1
1990/7/17,0,3,3,1,210,inf,0,1
1990/7/18,0,3,3,1,210,inf,0,1
1990/7/19,0,3,3,1,210,inf,0,1
1990/7/20,0,3,3,1,210,inf,0,1
1990/7/21,0,3,3,1,210,inf,0,1
1990/7/22,0,3,3,1,210,inf,0,1
1990/7/23,0,3,3,1,210,inf,0,1
1990/7/24,0,3,3,1,210,inf,0,1
1990/7/25,0,3,3,1,210,inf,0,1
1990/7/26,0,3,3,1,210,inf,0,1
1990/7/27,0,3,3,1,210,inf,0,1
1990/7/28,0,3,3,1,210,inf,0,1
1990/7/29,0,3,3,1,210,inf,0,1
1990/7/30,0,3,3,1,210,inf,0,1
1990/7/31,0,3,3,1,210,inf,0,1
1990/8/1,0,3,3,1,210,inf,0,1
1990/8/2,0,3,3,1,210,inf,0,1
1990/8/3,0,3,3,1,210,inf,0,1
1990/8/4,0,3,3,1,210,inf,0,1
1990/8/5,0,3,3,1,210,inf,0,1
1990/8/6,0,3,3,1,210,inf,0,1
1990/8/7,0,3,3,1,210,inf,0,1
1990/8/8,0,3,3,1,210,inf,0,1
1990/8/9,0,3,3,1,210,inf,0,1
1990/8/10,0,3,3,1,210,inf,0,1
1990/8/11,0,3,3,1,210,inf,0,1
1990/8/12,0,3,3,1,210,inf,0,1
1990/8/13,0,3,3,1,210,inf,0,1
1990/8/14,0,3,3,1,210,inf,0,1
1990/8/15,0,3,3,1,210,inf,0,1
1990/8/16,0,3,3,1,210,inf,0,1
1990/8/17,0,3,3,1,210,inf,0,1
1990/8/18,0,3,3,1,210,inf,0,1
1990/8/19,0,3,3,1,210,inf,0,1
1990/8/20,0,3,3,1,210,inf,0,1
1990/8/21,0,3,3,1,210,inf,0,1
1990/8/22,0,3,3,1,210,inf,0,1
1990/8/23,0,3,3,1,210,inf,0,1
1990/8/24,0,3,3,1,210,inf,0,1
1990/8/25,0,3,3,1,210,inf,0,1
1990/8/26,0,3,3,1,210,inf,0,1
1990/8/27,0,3,3,1,210,inf,0,1
1990/8/28,0,3,3,1,210,inf,0,1
1990/8/29,0,3,3,1,210,inf,0,1
1990/8/30,0,3,3,1,210,inf,0,1
1990/8/31,0,3,3,1,210,inf,0,1
1990/9/1,0,3,3,1,210,inf,0,1
1990/9/2,0,3,3,1,210,inf,0,1
1990/9/3,0,3,3,1,210,inf,0,1
1990/9/4,0,3,3,1,210,inf,0,1
1990/9/5,0,3,3,1,210,inf,0,1
1990/9/6,0,3,3,1,210,inf,0,1
1990/9/7,0,3,3,1,210,inf,0,1
1990/9/8,0,3,3,1,210,inf,0,1
1990/9/9,0,3,3,1,210,inf,0,1
1990/9/10,0,3,3,1,210,inf,0,1
1990/9/11,0,3,3,1,210,inf,0,1
1990/9/12,0,3,3,1,210,inf,0,1
1990/9/13,0,3,3,1,210,inf,0,1
1990/9/14,0,3,3,1,210,inf,0,1
1990/9/15,0,3,3,1,210,inf,0,1
1990/9/16,0,3,3,1,210,inf,0,1
1990/9/17,0,3,3,1,210,inf,0,1
1990/9/18,0,3,3,1,210,inf,0,1
1990/9/19,0,3,3,1,210,inf,0,1
1990/9/20,0,3,3,1,210,inf,0,1
1990/9/21,0,3,3,1,210,inf,0,1
1990/9/22,0,3,3,1,210,inf,0,1
1990/9/23,0,3,3,1,210,inf,0,1
